county,year,month,rainfall_mm,temp_c
Trans Nzoia,2024,7,423.77,16.44
Trans Nzoia,2024,8,320.84999999999997,16.47
Trans Nzoia,2024,9,243.90000000000003,17.52
Trans Nzoia,2024,10,319.92,17.66
Trans Nzoia,2024,11,207.0,17.0
Trans Nzoia,2024,12,35.96,16.33
Uasin Gishu,2010,1,101.99,18.68
Uasin Gishu,2010,2,162.67999999999998,19.88
Uasin Gishu,2010,3,204.6,19.39
Uasin Gishu,2010,4,284.40000000000003,19.66
Uasin Gishu,2010,5,302.87,19.02
Uasin Gishu,2010,6,108.89999999999999,18.33
Uasin Gishu,2010,7,158.41,17.45
Uasin Gishu,2010,8,135.16,17.8
Uasin Gishu,2010,9,189.29999999999998,18.58
Uasin Gishu,2010,10,192.82,18.78
Uasin Gishu,2010,11,99.9,18.48
Uasin Gishu,2010,12,40.92,18.14
Uasin Gishu,2011,1,14.879999999999999,18.99
Uasin Gishu,2011,2,29.12,20.25
Uasin Gishu,2011,3,185.07,20.48
Uasin Gishu,2011,4,203.1,20.43
Uasin Gishu,2011,5,283.96,19.03
Uasin Gishu,2011,6,163.20000000000002,17.82
Uasin Gishu,2011,7,126.17000000000002,17.84
Uasin Gishu,2011,8,260.40000000000003,17.4
Uasin Gishu,2011,9,168.6,18.26
Uasin Gishu,2011,10,248.92999999999998,18.64
Uasin Gishu,2011,11,367.5,17.75
Uasin Gishu,2011,12,59.83,17.44
Uasin Gishu,2012,1,2.1700000000000004,17.63
Uasin Gishu,2012,2,29.0,18.84
Uasin Gishu,2012,3,38.13,20.25
Uasin Gishu,2012,4,426.0,18.83
Uasin Gishu,2012,5,297.59999999999997,18.47
Uasin Gishu,2012,6,207.0,17.64
Uasin Gishu,2012,7,112.22,16.99
Uasin Gishu,2012,8,201.19,17.51
Uasin Gishu,2012,9,218.4,18.26
Uasin Gishu,2012,10,208.32,18.58
Uasin Gishu,2012,11,268.2,18.39
Uasin Gishu,2012,12,150.97,18.22
Uasin Gishu,2013,1,48.980000000000004,18.57
Uasin Gishu,2013,2,14.56,19.34
Uasin Gishu,2013,3,197.78,20.31
Uasin Gishu,2013,4,397.5,18.87
Uasin Gishu,2013,5,215.76,18.77
Uasin Gishu,2013,6,78.89999999999999,17.92
Uasin Gishu,2013,7,98.27,17.16
Uasin Gishu,2013,8,204.29,17.5
Uasin Gishu,2013,9,202.79999999999998,18.51
Uasin Gishu,2013,10,149.10999999999999,18.58
Uasin Gishu,2013,11,137.7,18.41
Uasin Gishu,2013,12,93.92999999999999,18.12
Uasin Gishu,2014,1,9.61,19.01
Uasin Gishu,2014,2,49.56,19.82
Uasin Gishu,2014,3,131.44,20.4
Uasin Gishu,2014,4,88.2,20.32
Uasin Gishu,2014,5,227.85,19.43
Uasin Gishu,2014,6,132.6,18.57
Uasin Gishu,2014,7,130.20000000000002,17.91
Uasin Gishu,2014,8,160.89000000000001,17.53
Uasin Gishu,2014,9,146.7,18.76
Uasin Gishu,2014,10,283.65000000000003,18.75
Uasin Gishu,2014,11,128.7,18.6
Uasin Gishu,2014,12,70.67999999999999,18.31
Uasin Gishu,2015,1,2.48,18.57
Uasin Gishu,2015,2,29.400000000000002,21.02
Uasin Gishu,2015,3,61.69,21.79
Uasin Gishu,2015,4,289.5,19.32
Uasin Gishu,2015,5,336.34999999999997,18.95
Uasin Gishu,2015,6,271.5,18.14
Uasin Gishu,2015,7,139.5,18.18
Uasin Gishu,2015,8,130.20000000000002,18.88
Uasin Gishu,2015,9,139.8,19.47
Uasin Gishu,2015,10,169.26,19.6
Uasin Gishu,2015,11,357.9,18.67
Uasin Gishu,2015,12,137.95000000000002,18.43
Uasin Gishu,2016,1,78.12,19.03
Uasin Gishu,2016,2,13.92,19.69
Uasin Gishu,2016,3,62.92999999999999,21.39
Uasin Gishu,2016,4,386.40000000000003,19.99
Uasin Gishu,2016,5,263.5,18.73
Uasin Gishu,2016,6,175.2,18.03
Uasin Gishu,2016,7,262.88,17.46
Uasin Gishu,2016,8,155.0,17.97
Uasin Gishu,2016,9,207.3,18.65
Uasin Gishu,2016,10,99.2,18.96
Uasin Gishu,2016,11,104.10000000000001,18.55
Uasin Gishu,2016,12,12.4,18.5
Uasin Gishu,2017,1,53.94,19.22
Uasin Gishu,2017,2,84.83999999999999,20.34
Uasin Gishu,2017,3,109.42999999999999,21.21
Uasin Gishu,2017,4,139.8,20.7
Uasin Gishu,2017,5,293.26000000000005,19.19
Uasin Gishu,2017,6,137.7,18.96
Uasin Gishu,2017,7,267.21999999999997,17.58
Uasin Gishu,2017,8,310.31,18.06
Uasin Gishu,2017,9,403.8,18.46
Uasin Gishu,2017,10,217.31,18.73
Uasin Gishu,2017,11,200.1,18.1
Uasin Gishu,2017,12,21.080000000000002,17.99
Uasin Gishu,2018,1,15.19,18.27
Uasin Gishu,2018,2,36.96,20.15
Uasin Gishu,2018,3,267.53000000000003,18.93
Uasin Gishu,2018,4,460.79999999999995,18.23
Uasin Gishu,2018,5,524.21,18.26
Uasin Gishu,2018,6,365.7,17.48
Uasin Gishu,2018,7,272.8,17.14
Uasin Gishu,2018,8,268.15000000000003,17.55
Uasin Gishu,2018,9,140.1,18.95
Uasin Gishu,2018,10,137.32999999999998,18.73
Uasin Gishu,2018,11,86.10000000000001,19.02
Uasin Gishu,2018,12,106.64,18.56
Uasin Gishu,2019,1,18.599999999999998,19.19
Uasin Gishu,2019,2,22.68,20.89
Uasin Gishu,2019,3,53.94,21.81
Uasin Gishu,2019,4,178.8,21.93
Uasin Gishu,2019,5,268.15000000000003,19.7
Uasin Gishu,2019,6,398.7,17.95
Uasin Gishu,2019,7,246.76,17.65
Uasin Gishu,2019,8,398.65999999999997,17.94
Uasin Gishu,2019,9,229.5,18.66
Uasin Gishu,2019,10,333.87,18.66
Uasin Gishu,2019,11,234.9,18.65
Uasin Gishu,2019,12,283.34000000000003,18.17
Uasin Gishu,2020,1,175.77,18.57
Uasin Gishu,2020,2,99.76,19.15
Uasin Gishu,2020,3,312.17,19.72
Uasin Gishu,2020,4,393.0,19.11
Uasin Gishu,2020,5,380.06,18.8
Uasin Gishu,2020,6,452.4,17.78
Uasin Gishu,2020,7,289.54,17.1
Uasin Gishu,2020,8,404.55,17.62
Uasin Gishu,2020,9,410.7,18.31
Uasin Gishu,2020,10,245.52,18.53
Uasin Gishu,2020,11,225.9,18.46
Uasin Gishu,2020,12,68.51,17.89
Uasin Gishu,2021,1,62.62,17.95
Uasin Gishu,2021,2,35.84,18.92
Uasin Gishu,2021,3,50.529999999999994,20.0
Uasin Gishu,2021,4,189.29999999999998,19.78
Uasin Gishu,2021,5,368.59000000000003,18.77
Uasin Gishu,2021,6,71.10000000000001,18.42
Uasin Gishu,2021,7,180.73,17.26
Uasin Gishu,2021,8,203.04999999999998,18.33
Uasin Gishu,2021,9,304.8,18.61
Uasin Gishu,2021,10,166.47,18.83
Uasin Gishu,2021,11,83.39999999999999,19.19
Uasin Gishu,2021,12,75.64,18.58
Uasin Gishu,2022,1,83.08,18.23
Uasin Gishu,2022,2,37.800000000000004,19.8
Uasin Gishu,2022,3,73.16,21.18
Uasin Gishu,2022,4,161.4,20.42
Uasin Gishu,2022,5,234.67000000000002,19.42
Uasin Gishu,2022,6,119.7,18.39
Uasin Gishu,2022,7,232.5,17.83
Uasin Gishu,2022,8,423.46,17.55
Uasin Gishu,2022,9,342.3,18.44
Uasin Gishu,2022,10,146.63000000000002,18.58
Uasin Gishu,2022,11,85.8,18.44
Uasin Gishu,2022,12,64.17,18.33
Uasin Gishu,2023,1,9.299999999999999,18.34
Uasin Gishu,2023,2,10.08,20.66
Uasin Gishu,2023,3,383.46999999999997,20.09
Uasin Gishu,2023,4,381.6,19.25
Uasin Gishu,2023,5,200.88000000000002,19.28
Uasin Gishu,2023,6,307.8,18.66
Uasin Gishu,2023,7,215.76,18.23
Uasin Gishu,2023,8,185.07,18.98
Uasin Gishu,2023,9,220.2,19.46
Uasin Gishu,2023,10,240.56,19.66
Uasin Gishu,2023,11,314.40000000000003,18.51
Uasin Gishu,2023,12,49.29,18.83
Uasin Gishu,2024,1,137.95000000000002,18.85
Uasin Gishu,2024,2,166.46,19.73
Uasin Gishu,2024,3,77.80999999999999,20.33
Uasin Gishu,2024,4,456.90000000000003,19.61
Uasin Gishu,2024,5,349.37,19.52
Uasin Gishu,2024,6,268.2,18.76
Uasin Gishu,2024,7,367.04,17.93
Uasin Gishu,2024,8,324.57,18.05
Uasin Gishu,2024,9,267.0,19.15
Uasin Gishu,2024,10,235.29,19.18
Uasin Gishu,2024,11,229.2,18.78
Uasin Gishu,2024,12,65.72,18.32
Nakuru,2010,1,108.5,15.41
Nakuru,2010,2,126.55999999999999,16.72
Nakuru,2010,3,181.66,16.32
Nakuru,2010,4,160.8,16.23
Nakuru,2010,5,155.0,15.36
Nakuru,2010,6,60.3,14.64
Nakuru,2010,7,69.75,13.8
Nakuru,2010,8,104.16,14.21
Nakuru,2010,9,142.20000000000002,14.64
Nakuru,2010,10,128.34,15.22
Nakuru,2010,11,96.3,15.35
Nakuru,2010,12,57.35,15.3
Nakuru,2011,1,20.46,16.01
Nakuru,2011,2,41.44,16.74
Nakuru,2011,3,122.14,17.31
Nakuru,2011,4,85.8,16.76
Nakuru,2011,5,119.35000000000001,15.69
Nakuru,2011,6,111.0,15.08
Nakuru,2011,7,73.16,14.67
Nakuru,2011,8,145.07999999999998,14.25
Nakuru,2011,9,92.4,15.07
Nakuru,2011,10,148.18,15.4
Nakuru,2011,11,221.1,15.21
Nakuru,2011,12,48.980000000000004,15.07
Nakuru,2012,1,5.89,15.17
Nakuru,2012,2,16.529999999999998,16.38
Nakuru,2012,3,14.26,17.61
Nakuru,2012,4,262.8,15.92
Nakuru,2012,5,218.85999999999999,14.94
Nakuru,2012,6,116.7,14.11
Nakuru,2012,7,64.17,13.91
Nakuru,2012,8,110.36,13.94
Nakuru,2012,9,84.6,14.6
Nakuru,2012,10,136.71,15.31
Nakuru,2012,11,123.89999999999999,15.61
Nakuru,2012,12,109.42999999999999,15.38
Nakuru,2013,1,44.64,15.88
Nakuru,2013,2,5.6000000000000005,16.84
Nakuru,2013,3,115.01,17.4
Nakuru,2013,4,302.7,15.69
Nakuru,2013,5,73.16,14.82
Nakuru,2013,6,78.3,14.18
Nakuru,2013,7,95.17,13.82
Nakuru,2013,8,75.95,13.99
Nakuru,2013,9,124.19999999999999,15.06
Nakuru,2013,10,40.300000000000004,15.46
Nakuru,2013,11,108.60000000000001,15.55
Nakuru,2013,12,134.85,15.23
Nakuru,2014,1,10.85,16.43
Nakuru,2014,2,74.75999999999999,16.58
Nakuru,2014,3,96.10000000000001,17.06
Nakuru,2014,4,81.3,16.62
Nakuru,2014,5,88.97,15.77
Nakuru,2014,6,56.1,15.33
Nakuru,2014,7,59.21,15.03
Nakuru,2014,8,101.99,14.64
Nakuru,2014,9,61.2,15.27
Nakuru,2014,10,100.75,16.13
Nakuru,2014,11,119.4,15.92
Nakuru,2014,12,63.86,16.03
Nakuru,2015,1,12.709999999999999,16.73
Nakuru,2015,2,28.84,18.01
Nakuru,2015,3,76.88,17.39
Nakuru,2015,4,291.0,16.34
Nakuru,2015,5,172.67000000000002,15.44
Nakuru,2015,6,81.9,15.11
Nakuru,2015,7,49.910000000000004,14.67
Nakuru,2015,8,31.0,15.1
Nakuru,2015,9,43.5,15.77
Nakuru,2015,10,129.89000000000001,16.38
Nakuru,2015,11,293.09999999999997,15.79
Nakuru,2015,12,194.36999999999998,15.59
Nakuru,2016,1,106.02,15.96
